business_id,user_name,user_location,has_image,friends_count,reviews_count,photos_count,rating,review_date,language,review_text
QdN72BWoyFypdGJhhI5r7g,Brenda M.,"Maplewood, Vereinigte Staaten",False,0,0,0,5.0 Sterne,10.2.2017,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
PdMXmOWDRHICAx6SLgu1dQ,Juliet K.,"New York, Vereinigte Staaten",False,0,0,0,4.0 Sterne,17.12.2016,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
TttFjRQ-8Iz8by4hsD7iOQ,Jack R.,"Philadelphia, Vereinigte Staaten",False,0,0,0,1.0 Sterne,15.1.2023,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
TttFjRQ-8Iz8by4hsD7iOQ,Jack R.,"Philadelphia, Vereinigte Staaten",False,0,0,0,1.0 Sterne,9.1.2023,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
Pb5agnsD9EdCl6yuZp2jJA,Jack R.,"Philadelphia, Vereinigte Staaten",False,0,0,0,1.0 Sterne,15.1.2023,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
Pb5agnsD9EdCl6yuZp2jJA,Alicia F.,"Northeast Philadelphia, Philadelphia, Vereinigte Staaten",True,31,0,0,5.0 Sterne,26.7.2018,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
kOHcpCZQd4uNp6G2uE8o2A,Jason H.,"Sicklerville, Vereinigte Staaten",False,0,2,0,1.0 Sterne,14.8.2019,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
rVfe1LHo55A2fworkm_jVw,Joel W.,"Los Angeles, Vereinigte Staaten",True,54,47,2 Fotos,1.0 Sterne,6.9.2014,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
UaovDcnP0QzsmGf6vXvg9w,Tommy G.,"Philadelphia, Vereinigte Staaten",False,0,0,0,1.0 Sterne,12.4.2012,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
1NCUTTp6rIyXpwUDVv9qOA,Jay G.,"Philadelphia, Vereinigte Staaten",False,1,0,0,4.0 Sterne,13.5.2011,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
BWITd9JUXP3gSi1z3Y-z8g,Bill t.,"Philadelphia, Vereinigte Staaten",False,0,0,0,2.0 Sterne,2.1.2012,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
BWITd9JUXP3gSi1z3Y-z8g,Elwood K.,"Philadelphia, Vereinigte Staaten",False,0,0,0,4.0 Sterne,15.1.2015,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
BWITd9JUXP3gSi1z3Y-z8g,Carl D.,"Philadelphia, Vereinigte Staaten",False,0,0,0,4.0 Sterne,24.10.2013,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
BWITd9JUXP3gSi1z3Y-z8g,Josh P.,"Carlsbad, Vereinigte Staaten",False,0,0,0,5.0 Sterne,28.8.2021,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
E-DcL1u330qwvoxXhipmUQ,Dave F.,"Philadelphia, Vereinigte Staaten",False,2,0,2 Fotos,5.0 Sterne,4.11.2010,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
E-DcL1u330qwvoxXhipmUQ,x o.,"Philadelphia, Vereinigte Staaten",False,0,0,0,5.0 Sterne,1.4.2010,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
Pab9VzWLe20vrdGn0rxNfQ,Ci Ci C.,"Philadelphia, Vereinigte Staaten",False,7,0,0,4.0 Sterne,28.3.2009,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
Pab9VzWLe20vrdGn0rxNfQ,kate m.,"Philadelphia, Vereinigte Staaten",False,0,0,0,5.0 Sterne,23.12.2009,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
Pab9VzWLe20vrdGn0rxNfQ,Ashley M.,"Philadelphia, Vereinigte Staaten",False,0,0,0,5.0 Sterne,22.12.2009,en,Dieser Beitrag wurde wegen Verstoßes gegen unsere Nutzungsbedingungen entfernt
